snooker_id,title
1011,888sport Champion of Champions
1012,Betway UK Championship
1013,Betfred Masters
1014,Betfred World Championship
1027,Rd 2
1028,Rd 3
1041,BetVictor Shoot Out
1042,Matchroom.live Scottish Open
1043,Matchroom World Grand Prix
1044,Matchroom.live Northern Ireland Open
1087,Ways UK Seniors Championship
1088,Women's British Open
1090,German Masters Qualifiers
1092,BildBet German Masters
1094,BetVictor Welsh Open
1095,BetVictor Gibraltar Open
1096,Cazoo Players Championship
1097,Cazoo Tour Championship
1098,World Championship Qualifiers
1099,BetVictor Championship League - Group 1
